X,Y,Z
-18.68159832,-44.18475672,27.83720096
-22.43071348,-44.52066192,27.6625396
-25.1072503,-43.80965913,28.8518045
-27.19660325,-42.68074421,28.77392683
-28.58952111,-40.54929082,27.9716654
-28.96461377,-37.68028319,28.80197296
-25.69010569,-42.90053087,30.54829591
-25.70919561,-43.2642255,34.23104539
-23.15056379,-43.21222991,34.86079099
-26.40022835,-41.527941,35.09016854
-21.15531311,-44.3318058,30.00002695
-21.98424893,-44.0671277,29.65746329
-22.76210011,-43.58852479,29.78474294
-23.11024577,-43.03424919,30.4158309
-22.53469508,-43.52823353,30.53300019
-21.80065576,-43.98036296,30.41137322
-26.33991079,-40.75305945,30.49467594
-27.08250742,-40.38864082,29.9318522
-27.87740921,-39.90896944,29.95215321
-28.2987794,-39.2338132,30.37659124
-27.71646293,-39.70384491,30.68130758
-27.02429555,-40.21437893,30.66335493
-21.86476006,-43.15909495,37.28526956
-24.13967189,-42.83300895,36.58256898
-24.71242504,-42.37853625,36.85631463
-25.30418011,-41.7860144,36.66158047
-26.11838486,-39.76692717,37.50151342
-25.13199797,-41.58188138,38.57715801
-24.62404199,-42.35712557,38.64489459
-23.91553131,-42.82729505,38.53281887
